
Wall and Piece,"Banksy,",Random House UK,2007,english,PDF, 43.14 MB
中华人民共和国史08.难以继续的「继续革命」—从批林到批邓(1972-1976),"史云&李丹慧,",香港中文大学出版社,2008,chinese,PDF, 21.06 MB
"Social History of Art, Boxed Set: The Social History of Art: Naturalism, Impressionism, the Film Age","Arnold Hauser,",Routledge,1999,english,PDF, 2.00 MB
A History of Pictures: From the Cave to the Computer Screen,"David Hockney, Martin Gayford,",Thames & Hudson,2016,english,EPUB, 89.48 MB
中国通史（简明插图版 ） [General History of China],"吕思勉,",中国纺织出版社,2015,chinese,PDF, 99.85 MB
Myths and Symbols in Indian Art and Civilization,"Heinrich Robert Zimmer, Joseph Campbell,",Princeton University Press,1972,english,PDF, 12.83 MB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
What is Art?,"Leo Tolstoy,",Penguin Books,2005,english,EPUB, 1.79 MB
Powerful Watercolor Landscapes: Tools for Painting with Impact,"Catherine Gill, Beth Means,",North Light Bks,2011,english,PDF, 23.37 MB
Pussycats,"Gilles Néret,",Taschen,2010,english,CBZ, 56.88 MB
Concerning the Spiritual in Art,"Wassily Kandinsky,",CreateSpace Independent Publishing Platform,2009,english,PDF, 554 KB
1300 Real and Fanciful Animals from Seventeenth-Century Engravings,"Matthäus Merian (the Younger), Carol Belanger Grafton,",Dover Publications,1998,english,EPUB, 43.67 MB
The shaping of Persian art : Collections and interpretations of the art of Islamic Iran and Central Asia,"Yuka Kadoi, Iván Szánto,",Cambridge Scholars Publishing,2013,english,PDF, 4.89 MB
敦煌历史文化艺术,"祁淑红、聂锋,",甘肃人民出版社,1996,chinese,PDF, 5.29 MB
"Draw 50 Birds: The Step-by-Step Way to Draw Chickadees, Peacocks, Toucans, Mallards, and Many More of Our Feathered Friends","Lee J. Ames, Tony D’Adamo,",Watson-Guptill,1996,english,EPUB, 32.44 MB
"The Club: Johnson, Boswell, and the Friends Who Shaped an Age","Leo Damrosch,",Yale University Press,2019,english,EPUB, 53.53 MB
殊方未远：古代中国的疆域、民族与认同,"葛兆光 等著；《东方早报·上海书评》编辑部 编,",中华书局,2016,chinese,PDF, 53.75 MB
Marxism and Literary Criticism,"Terry Eagleton,",Routledge,1976,english,PDF, 1.51 MB
Modos de Ver,"John Berger,",Editorial Gustavo Gili,2000,spanish,PDF, 6.05 MB
The Book of Barely Imagined Beings: A 21st Century Bestiary,"Caspar Henderson,",University Of Chicago Press,2013,english,PDF, 9.60 MB
艺术理论：从荷马到鲍德里亚（第2版）,"罗伯特·威廉姆斯,",北京大学出版社,2009,chinese,PDF, 33.19 MB
Drawing Birds,"Raymond Sheppard,",Dover Publications,2018,english,EPUB, 45.04 MB
Alice’s Adventures in Wonderland Decoded: The Full Text of Lewis Carroll’s Novel with its Many Hidden Meanings Revealed,"David Day,",Doubleday Canada,2015,english,EPUB, 35.05 MB
Embracing Defeat Japan in the Wake of World War II,"John W. Dower,",,,english,EPUB, 16.22 MB
The Hero's Journey,"Harold Bloom, Blake Hobby,",Infobase Publishing,2009,english,PDF, 1.05 MB
"Draw 50 Dogs: The Step-by-Step Way to Draw Beagles, German Shepherds, Collies, Golden Retrievers, Yorkies, Pugs, Malamutes, and Many More...","Lee J. Ames,",Watson-Guptill,11,english,EPUB, 16.62 MB
Leonardo's Notebooks,"Leonardo da Vinci, H. Anna Suh,",Black Dog & Leventhal Publishers,2005,english,PDF, 69.06 MB
组织部来了个年轻人（20世纪中文小说100强·058）,"王蒙,",花城出版社,2009,chinese,EPUB, 147 KB
Paint Watercolor Flowers: A Beginner’s Step-By-Step Guide,"Birgit O’Connor,",North Light Books,2018,english,PDF, 26.54 MB
Persian Miniatures,"Parkstone Press,",Parkstone Press,2010,english,PDF, 48.23 MB
Christian Art.. A Very Short Introduction,"Beth Williamson,",Oxford University Press,2004,english,PDF, 4.33 MB
Pictures and Visuality in Early Modern China (Reaktion Books - Picturing History),"Craig Clunas,",,2006,english,PDF, 15.90 MB
Allegory and Ideology,"Fredric Jameson,",Verso,2019,english,EPUB, 1.18 MB
A Literature of Their Own: British Women Novelists from Brontë to Lessing,"Elaine Showalter,",Princeton University Press,1977,english,PDF, 13.65 MB
Hell Beasts: How to Draw Grotesque Fantasy Creatures,"Jim Pavelec,",IMPACT Books,2007,english,PDF, 13.55 MB
A History of Greek Art,"Mark D. Stansbury-O?Donnell,",Wiley-Blackwell,2015,english,PDF, 61.03 MB
火枪与账簿：早期经济全球化时代的中国与东亚世界,"李伯重,",生活·读书·新知 三联书店,2017,chinese,PDF, 56.49 MB
中华人民共和国史05.历史的变局—从挽救危机到反修防修(1962-1965),"钱庠理.,",香港中文大学出版社,2008,chinese,PDF, 19.85 MB
Ilya Repin,"Grigori Sternine, Elena Kirillina,",Parkstone Press,2011,english,PDF, 108.06 MB
Post-impressionism,"Nathalia Brodskaia.,",Parkstone International,2010,english,PDF, 73.67 MB
Dünya Sanat Tarihi,"Adnan Turani,",Remzi Kitabevi,2010,turkish,PDF, 44.60 MB
藩屏: 明代中国的皇家艺术与权力,"(英) 柯律格,",河南大学出版社,2016,chinese,PDF, 42.36 MB
普利策奖获得者赫尔曼·沃克作品集（共9册）(战争文学榜首，普利策文学奖获得者史诗级传世巨著！再现战争冲突、生存与死亡！),"赫尔曼·沃克,",,2018,chinese,EPUB, 10.73 MB
The Cambridge Introduction to Sylvia Plath (Cambridge Introductions to Literature),"Jo Gill,",Cambridge University Press,2008,english,PDF, 874 KB
"The Age of Insight: The Quest to Understand the Unconscious in Art, Mind, and Brain, from Vienna 1900 to the Present","Eric Kandel,",Random House,2012,english,EPUB, 36.76 MB
The World Atlas of Street Art and Graffiti,"Rafael Schacter, John Fekner,",Yale University Press,2013,english,PDF, 25.62 MB
Apocalypse,"Parkstone Press,",Parkstone Press,2012,english,PDF, 46.95 MB
The Illustrated Story of Art: The Great Art Movements and the Paintings that Inspired them,"DK,",DK,2013,english,PDF, 100.07 MB
The Books that Shaped Art History: From Gombrich and Greenberg to Alpers and Krauss,"Richard Shone, John-Paul Stonard (eds.),",Thames & Hudson,2013,english,EPUB, 5.91 MB
Human Sexuality,"Harold Bloom, Blake Hobby,",Chelsea House,2009,english,PDF, 1.06 MB
"A Poetics of Postmodernism: History, Theory, Fiction","Linda Hutcheon,",,1988,english,PDF, 934 KB
The Master's Tools Will Never Dismantle the Master's House,"Audre Lorde,",Penguin UK,2018,english,EPUB, 607 KB
中国衣冠服饰大辞典,"周汛（编） / 高春明（编）,",上海辞书出版社,1996,chinese,PDF, 210.81 MB
As Veias Abertas da América Latina,"Galeano, Eduardo,",L&PM EDITORES,2013,portuguese,MOBI , 806 KB
"The Where, The Why, and The How: 75 Artists Illustrate Wondrous Mysteries Of Science","Matt Lamothe, Julia Rothman, Jenny Volvovski, David Macaulay,",Chronicle Books,2012,english,EPUB, 11.67 MB
Modern Art. A Very Short Introduction,"David Cottington,","Oxford University Press, USA",2005,english,PDF, 3.59 MB
Frida: The Biography of Frida Kahlo,"Hayden Herrera,",Bloomsbury Publishing,2018,english,EPUB, 39.94 MB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
The Waste Land,"Harold Bloom,",Chelsea House Pub,2007,english,PDF, 1.19 MB
Modernism:  A Very Short Introduction (Very Short Introductions),"Christopher Butler,","Oxford University Press, USA",2010,english,PDF, 1.44 MB
"中国文化的深层结构(影响一代知识分子的传奇畅销书；用结构观念省察中国文化；对""国民性""深刻而理性的批判)","孙隆基,",中信出版社,2015,chinese,MOBI , 1.02 MB
"The Art of Art History: A Critical Anthology, 2nd Editon","Donald Preziosi,","USA, Oxford University Press",2009,english,PDF, 8.08 MB
The Book of Circles - Visualizing Spheres of Knowledge,"Manuel Lima,",Princeton Architectural Press,2017,english,PDF, 34.23 MB
Hiroshige,"Mikhail Uspensky,",Parkstone International,2011,english,PDF, 72.90 MB
Erotic colour prints of the ming period.卷2.秘书十种,"by R.H. van Gulik.高罗佩,",,2010,english,PDF, 16.66 MB
"Draw 50 Creepy Crawlies: The Step-by-Step Way to Draw Bugs, Slugs, Spiders, Scorpions, Butterflies, and Many More...","Lee J. Ames, Ray Burns,",Watson-Guptill,2013,english,EPUB, 31.01 MB
Naive art,"Nathalia Brodskaïa,",Parkstone International,2012,english,PDF, 68.87 MB
中华元素图典  传统织绣纹样  珍禽瑞兽,"Unknown,",,,,PDF, 93.21 MB
The History of Art: The Essential Guide to Painting Through the Ages,"A.N. Hodge,",Arcturus foulsham,2007,english,PDF, 33.06 MB
江岸送别：明代初期与中期绘画（1368-1580）,"高居翰,",生活·读书·新知三联书店,2009,chinese,PDF, 28.57 MB
对立之美：西方艺术500年（【文津奖】得主严伯钧十年力作！把晦涩的艺术史“翻译”成人人都能听得懂的知识资产！郎朗、薛兆丰、吕思清、俞潞、邬建安跨界推荐，让你秒变通才！）,"严伯钧,",中信出版社,2021,chinese,MOBI , 11.36 MB
Bharat Vibhajan,"Sardar Patel,",,2014,hindi,PDF, 2.26 MB
A Dictionary of Symbols,"Cirlot, J. E,",Dover Publications,2013,english,EPUB, 13.89 MB
我差点做了林彪的儿媳妇：张宁回忆录,"张宁,",内蒙古文化出版社,1998,chinese,PDF, 19.96 MB
现代性与空间的生产,"包亚明,",上海教育出版社,2003,chinese,PDF, 24.31 MB
明朝那些事儿（图文增补版）,"当年明月,",北京联合出版公司,2012,chinese,MOBI , 45.50 MB
"What It's Like to Be a Bird: From Flying to Nesting, Eating to Singing--What Birds Are Doing, and Why","David Allen Sibley,",Alfred A. Knopf,2020,english,EPUB, 295.33 MB
The Cambridge Introduction to Samuel Beckett (Cambridge Introductions to Literature),"Ronan McDonald,",Cambridge University Press,2007,english,PDF, 871 KB
Modern Literary Theory: A Reader,"Philip Rice and Patricia Waugh,",,,english,PDF, 15.29 MB
读客经典文库：传统美学三书（浮生六记+随园食单+闲情偶寄。全新注释版！翻开读客版传统美学三书，像古代文人一样会生活！收录独家文学手册）,"沈复 & 袁枚 & 李渔,",,2020,chinese,EPUB, 6.06 MB
Pictures and Passions: A History of Homosexuality in the Visual Arts,"James M. Saslow,",Viking Adult,1999,english,PDF, 39.49 MB
"Why the West Rules ~ for Now: The Patterns of History, and What They Reveal About the Future  ","Ian Morris,",Profile Books,2010,english,MOBI , 3.96 MB
气势撼人: 十七世纪中国绘画中的自然与风格,"[美国] 高居翰,",生活·读书·新知三联书店,2009,chinese,PDF, 118.90 MB
讲谈社·兴亡的世界史,"森谷公俊等,",北京日报出版社,2020,chinese,PDF, 217.03 MB
【精排】丑陋的中国人,"柏杨 [柏杨],",epub掌上书苑,2011,chinese,EPUB, 254 KB
天国之门 : 西方文化精神（独家上线！西学泰斗赵林、国务院政府特殊津贴专家赵林教授力作！邓晓芒、易中天、周国平、熊培云赞誉推荐！一部简明西方文化史，以高屋建瓴的宏观视野展现西方文化演进历程！） (西学三书),"赵林 [赵林],",湖南人民出版社,2020,chinese,EPUB, 2.91 MB
世界现代设计史（第二版）,"王受之,",中国青年出版社,2016,chinese,EPUB, 122.97 MB
The Story of Civilization I: Our Oriental Heritage,"Will Durant,",Simon and Schuster,,english,PDF, 53.04 MB
Contemporary Art: 1989 to the Present,"Alexander Dumbadze, Suzanne Hudson,",Wiley-Blackwell,2013,english,PDF, 2.13 MB
寻找大饥荒幸存者,"依娃,",明鏡出版社,2013,chinese,PDF, 19.78 MB
局部·伟大的工匠（陈丹青的私人艺术史 1.5亿人次观看，豆瓣高分艺术纪录片《局部》第一季内容全收录 理想国出品）,"陈丹青 [陈丹青],",,2020,chinese,EPUB, 22.12 MB
"Treasury of Fantastic and Mythological Creatures: 1,087 Renderings from Historic Sources","Huber, Richard,",Dover Publications,1981,english,EPUB, 39.09 MB
Installation Art  ,"Claire Bishop,",Tate Publishing,2005,english,PDF, 9.83 MB
Lifelike Drawing In Colored Pencil With Lee Hammond,"Lee Hammond,",North Light Books,2008,english,PDF, 36.84 MB
Félix Vallotton,"Nathalia Brodskaïa,",Parkstone International,2013,english,PDF, 39.06 MB
Delphi Complete Works of Leonardo da Vinci,"Leonardo da Vinci, Peter Bryant,",Delphi Classics,2014,english,EPUB, 15.84 MB
Methods and Theories of Art History,"Anne D’Alleva,",Laurence King Publishing,2005,english,PDF, 11.97 MB
Como ser cristão,"C. S. Lewis,",Thomas Nelson Brasil,2020,portuguese,EPUB, 993 KB
Essence and Alchemy: A Natural History of Perfume,"Mandy Aftel,",Gibbs Smith,2004,english,EPUB, 3.45 MB
Ways of Seeing: Based on the BBC Television Series,"John Berger,",Penguin Books,1990,english,EPUB, 9.86 MB
History of Japanese Art,"Penelope Mason,",Pearson,2004,english,PDF, 345.33 MB
LIFE the Godfather,"The Editors of LIFE,",LIFE BOOKS,2019,english,EPUB, 33.24 MB
The Sublime,"Harold Bloom (Edited and with an Introduction by),",Bloom’s Literary Criticism An imprint of Infobase Publishing,2010,english,PDF, 1.58 MB
Picture Theory: Essays on Verbal and Visual Representation,"W. J. T. Mitchell,",University Of Chicago Press,1995,english,PDF, 119.65 MB
Vincent Van Gogh: 1853–1890: Visión y realidad,"Ingo F. Walther,",Taschen,1996,spanish,PDF, 14.06 MB
10000年中国艺术史（全2册）（从山顶洞人装饰品说起的10000年中国艺术史！百科全书式的中国艺术入门读本！）,"王逊 [王逊],",,2020,chinese,EPUB, 24.89 MB
Marc Chagall,"Victoria Charles,",Parkstone International,2011,english,PDF, 47.35 MB
Against interpretation and other essays,"Susan Sontag,",FSG,1966,english,PDF, 1.17 MB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
Splendor Solis: The World’s Most Famous Alchemical Manuscript,"Stephen Skinner, Rafal T. Prinke, Georgiana Hedesan, Joscelyn Godwin,",Watkins Publishing,2019,english,EPUB, 1.64 MB
"Social History of Art, Boxed Set: The Social History of Art: From Prehistoric Times to the Middle Ages","Arnold Hauser,",Routledge,1999,english,PDF, 2.69 MB
HR GIGER ARh+,"Hans Richard Giger,",Taschen,2006,spanish,PDF, 26.67 MB
军人与国家：军政关系的理论与政治,"[美]塞缪尔‧亨廷顿, Samuel P. Huntington, 李晟(译),",中国政法大学出版社,2017,chinese,PDF, 73.86 MB
"Gardner’s Art Through the Ages: The Western Perspective, Volume I","Fred S. Kleiner,",Cengage Learning,2016,english,PDF, 111.69 MB
The Cambridge Introduction to W.B. Yeats (Cambridge Introductions to Literature),"David Holdeman,",Cambridge University Press,2006,english,PDF, 909 KB
敦煌石窟艺术简史,"赵声良著,", 中国青年出版社,2015,chinese,PDF, 51.57 MB
The Artist's Guide to Human Anatomy,"Gottfried Bammes,",Dover Publications,2004,english,PDF, 124.64 MB
A Companion to Contemporary Art Since 1945,"Amelia Jones,",Wiley-Blackwell,2006,english,PDF, 11.74 MB
The American Dream,"Harold Bloom, Blake Hobby,",Chelsea House,2009,english,PDF, 853 KB
The Surviving Image: Phantoms of Time and Time of Phantoms: Aby Warburg's History of Art,"Georges Didi-Huberman, Harvey Mendelsohn,",Penn State University Press,2018,english,PDF, 35.53 MB
"Wabori, Traditional Japanese Tattoo: Classic Japanese tattoos from the masters.","Manami Okazaki,",Kingyo Press,2013,english,PDF, 105.85 MB
Cultural Amnesia: Notes in the Margin of My Time,"James, Clive,",Macmillan Publishers UK,2008,english,EPUB, 2.57 MB
Blue: The History of a Color (2018),"Michel Pastoureau,",,,,PDF, 43.84 MB
看懂世界绘画第一本书 (艺术大师系列),"艺术大师编辑部 / 编著,",江苏凤凰美术出版社,2015,chinese,AZW3 , 52.60 MB
Japanese Graphics Now!,"Gisela Kozak, Julius Wiedemann,",Taschen,2006,english,PDF, 76.50 MB
大明 : 明代中国的视觉文化与物质文化,"[英]柯律格,",生活·读书·新知三联书店,2019,chinese,PDF, 63.48 MB
阁楼上的疯女人：女性作家与19世纪文学想象（套装二册） (西方现代批评经典译丛),"[美]桑德拉·吉尔伯特 苏珊·古芭,",上海人民出版社,2015,chinese,MOBI , 4.10 MB
Figure Drawing for Artists: Making Every Mark Count,"Steve Huston,",Rockport Publishers,2016,english,PDF, 13.94 MB
现代设计史,"瑞兹曼,",人民大学,2000,chinese,PDF, 79.08 MB
Tolstoy or Dostoevsky,"George Steiner,",Open Road Integrated Media,,english,EPUB, 1.82 MB
The Art Book,"Editors of Phaidon Press,",Phaidon Press,1997,english,PDF, 62.10 MB
中华元素图典  传统织绣纹样  龙蟒鸾凤,"Unknown,",,,,PDF, 94.68 MB
The avant-garde : a very short introduction,"Cottington, David,","Oxford University Press, USA;Oxford University Press;MTM",2015,english,EPUB, 664 KB
The Mind in the Cave: Consciousness and the Origins of Art,"David Lewis-Williams,",Thames & Hudson,2004,english,EPUB, 2.72 MB
Principles of Literary Criticism,"I. A. Richards,",Psychology Press,2001,english,PDF, 892 KB
"Mechanika, Revised and Updated: Creating the Art of Space, Aliens, Robots and Sci-Fi","Doug Chiang,",Impact,2015,english,PDF, 17.90 MB
"The Cambridge History of Literary Criticism, Volume 9: Twentieth-Century Historical, Philosophical and Psychological Perspectives","Christa Knellwolf, Christopher Norris,",,2001,english,PDF, 12.81 MB
How to Interpret Literature: Critical Theory for Literary and Cultural Studies,"Robert Dale Parker,",Oxford University Press,2019,english,PDF, 4.91 MB
Artificial Hells: Participatory Art and the Politics of Spectatorship,"Claire Bishop,",Verso,2012,english,PDF, 6.68 MB
The Feminine in Fairy Tales,"Marie-Louise von Franz,",Shambhala,1972,english,EPUB, 322 KB
En Plein Air: Watercolor: Expert Techniques and Simple Step-by-Step Projects for Creating Dynamic Landscapes in the Open Air with Watercolor,"Ron Stocke,",Walter Foster Publishing,2018,english,EPUB, 38.09 MB
Art to Come: Histories of Contemporary Art,"Terry Smith,",Duke University Press Books,2019,english,PDF, 31.75 MB
"A Companion to Medieval Art: Romanesque and Gothic in Northern Europe, 2nd Edition","Conrad Rudolph,",Wiley-Blackwell,2018,english,PDF, 24.34 MB
The Future of Environmental Criticism: Environmental Crisis and Literary Imagination,"Lawrence Buell,",Wiley-Blackwell,2005,english,PDF, 834 KB
"Chinese Reading of the Daodejing, A","Rudolf G. Wagner, Laozi, Wang Bi,",State University of New York Press,2003,english,PDF, 2.89 MB
"The Glory of Byzantium: Art and Culture of the Middle Byzantine Era, A.D. 843-1261","Helen C. Evans, William D. Wixom,",Metropolitan Museum of Art,1997,english,PDF, 85.71 MB
"In Progress: See Inside a Lettering Artist’s Sketchbook and Process, from Pencil to Vector","Jessica Hische,",Chronicle Books,2015,english,EPUB, 32.77 MB
"Draw 50 People: The Step-by-Step Way to Draw Cavemen, Queens, Aztecs, Vikings, Clowns, Minutemen, and Many More...","Lee J. Ames, Creig Flessel,",Watson-Guptill,11,english,EPUB, 32.74 MB
中国社会科学院·学者文选（套装30册）【精选季羡林、郭沫若、沈从文、费孝通、胡乔木、郑振铎、顾颉刚、胡绳、金岳霖、卞之琳等30位社科院学部委员文集，浓缩老一辈学术大师的学术精华！反映新中国成立后中国社会科学院的辉煌历史和当代中国哲学社会科学早期取得的巨大成就！】,"中国社会科学院科研局,",中国社会科学出版社,2011,chinese,EPUB, 69.59 MB
Painting and Experience in Fifteenth-Century Italy: A Primer in the Social History of Pictorial Style,"Michael Baxandall,", Oxford Paperbacks,1988,english,PDF, 10.26 MB
A History of Reading,"Alberto Manguel,",Penguin Books,2014,english,EPUB, 13.92 MB
马丁·盖尔归来,"Natalie Zemon Davis,",北京大学出版社,2009,chinese,PDF, 14.31 MB
What Art Is,"Arthur C. Danto,",Yale University Press,2013,english,PDF, 497 KB
山外山: 晚明绘画（1570－1644）,"[美国] 高居翰,",生活·读书·新知三联书店,2009,chinese,PDF, 112.86 MB
"Dreamscapes: Creating Magical Angel, Faery & Mermaid Worlds In Watercolor","Stephanie Pui-Mun Law,",Impact,2008,english,PDF, 62.94 MB
"Think Like an Artist: and Lead a More Creative, Productive Life","Will Gompertz,",Harry N. Abrams,2016,english,EPUB, 9.80 MB
重屏: 中国绘画中的媒材与再现,"巫鸿,",上海人民出版社,2010,chinese,PDF, 22.68 MB
The Western Canon: The Books and School of the Ages,"Harold Bloom,",Houghton Mifflin Harcourt,1994,english,EPUB, 1.15 MB
Western Illuminated Manuscripts: A Catalogue of the Collection in Cambridge University Library,"Paul Binski, Patrick Zutshi,",Cambridge University Press,2011,english,PDF, 48.18 MB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
God Is Not One: The Eight Rival Religions That Run the World--and Why Their Differences Matter,"Stephen Prothero,",HarperOne,2010,english,EPUB, 1.27 MB
Resumen gráfico de la historia del arte,"M.D.D., ,",Gustavo Gili,,spanish,PDF, 5.11 MB
The Grotesque,"Harold Bloom (Edited and with an Introduction by),",Bloom’s Literary Criticism An imprint of Infobase Publishing,2009,english,PDF, 1.20 MB
J.R.R. Tolkien's The Lord of the Rings,"Harold Bloom,",Blooms Literary Criticism,2008,english,PDF, 956 KB
兰州文史资料选辑第20辑·甘肃六十年代大饥荒考证,"武文军，王家珞,",兰州市政协文史资料和学习委员会,2001,chinese,PDF, 14.15 MB
The Art of South and Southeast Asia: A Resource for Educators,"Steven M. Kossak, Edith W. Watts,",Metropolitan Museum of Art,2001,english,PDF, 1.98 MB
Pattern Sourcebook: Japanese Style: 250 Patterns for Projects and Designs,"Shigeki Nakamura,",Rockport Publishers,2008,english,PDF, 65.88 MB
全球景观中的中国古代艺术,"[美]巫鸿,",北京：生活·读书·新知·三联书店,2018,chinese,EPUB, 11.03 MB
Blood & Black Lace: The Definitive Guide to Italian Sex and Horror Movies,"Adrian Luther Smith,",Stray Cat Publishing Ltd,2000,english,CBR, 91.30 MB
新艺术的震撼,"[澳] 罗伯特·休斯,",理想国 | 中国美术学院出版社,2019,chinese,EPUB, 27.01 MB
Rembrandt and the Female Nude,"Eric Jan Sluijter,",Amsterdam University Press,2007,english,PDF, 7.89 MB
The Story of Art,"E. H. Gombrich,",Phaidon Press,1995,english,PDF, 198.05 MB
工业设计史(何人可第四版),"何人可,",,2012,chinese,MOBI , 5.01 MB
Ways of Curating,"Obrist, Hans Ulrich,","Farrar, Straus and Giroux",,english,EPUB, 249 KB
"Gardner’s Art Through the Ages: The Western Perspective, Volume II","Fred S. Kleiner,",Cengage Learning,2016,english,PDF, 143.57 MB
"Colonial and Postcolonial Literature, 2nd edition","Elleke Boehmer,",Oxford University Press,2005,english,PDF, 2.62 MB
中国美术简史(新修订本)【文字版！！！】,"中央美术学院美术史系中国美术史教研室aadministrator,",中国青年出版社,2002,chinese,PDF, 99.27 MB
How to Use Your Eyes,"James Elkins,",Routledge,2000,english,PDF, 23.89 MB
ZBrush Digital Sculpting Human Anatomy,"Scott Spencer,",Sybex,2010,english,PDF, 24.94 MB
图像学：形象，文本，意识形态,"W. J. T. 米歇尔,",北京大学出版社,2012,chinese,PDF, 17.42 MB
如何看一幅画Ⅱ,"[法]弗朗索瓦芭布·高尔,",中信出版社,2015,chinese,EPUB, 11.51 MB
Animals Real and Imagined: The Fantasy of What Is and What Might Be,"Terryl Whitlatch,",Design Studio Press,2010,english,PDF, 25.56 MB
Nose Dive: A Field Guide to the World's Smells,"Harold McGee,",Penguin Publishing Group,2020,english,EPUB, 6.95 MB
A History of Roman Art,"Steven L. Tuck,",Wiley-Blackwell,2015,english,PDF, 74.91 MB
Contemporary Art and Memory: Images of Recollection and Remembrance,"Joan Gibbons,",I.B.Tauris,2008,english,PDF, 3.53 MB
Virtual art: from illusion to immersion,"Oliver Grau,",MIT Press,2003,english,PDF, 20.21 MB
Impressionism,"Nathalia Brodskaïa.,",Parkstone International,2010,english,PDF, 62.25 MB
The artist's guide to drawing the clothed figure : a complete resource on rendering clothing and drapery,"Massen, Michael,","Ten Speed Press;GMC Distribution [distributor], Watson-Guptill",2012,english,EPUB, 8.30 MB
Forgotten Empire: The World of Ancient Persia,"J.E. Curtis, Nigel Tallis,",British Museum Press,2005,english,PDF, 22.32 MB
Modernism: A Very Short Introduction (Very Short Introductions)  ,"Christopher Butler,","Oxford University Press, USA",2010,english,EPUB, 684 KB
比较诗学结构 : 中西文论研究的三种视角,"蔡宗齐, 刘青海,",北京大学出版社,2012,chinese,PDF, 11.38 MB
Drawing the Head for Artists: Techniques for Mastering Expressive Portraiture,"Oliver Sin,",Quarry Books,2019,english,PDF, 28.69 MB
艺术与错觉 图画再现的心理学研究,"贡布里希,",广西美术出版社,2012,chinese,PDF, 129.93 MB
中国现代史  上册   第4版,"王桧林,",,,,PDF, 177.08 MB
Bento's Sketchbook,"John Berger,",Pantheon,2011,english,EPUB, 8.60 MB
A Companion to Greek Tragedy ,"Justina Gregory,",Wiley-Blackwell,2005,english,PDF, 3.75 MB
Continuum Studies in Contemporary North American Fiction: Cormac McCarthy,"Sara L. Spurgeon,",Continuum International Publishing Group,2011,english,PDF, 1.70 MB
Coloring flower mandalas : 30 hand-drawn designs for mindful relaxation,"Piersall, Wendy,",Ulysses Press,2015,english,EPUB, 3.30 MB
The Arthashastra,"Kauṭilya, L.N. Rangarajan,",Penguin India,2000,english,EPUB, 9.01 MB
The Practical Guide to Drawing Figures,"Barrington Barber,",Arcturus Publishing,2012,english,EPUB, 9.69 MB
美国与中国,"费正清,",世界知识出版社,1999,chinese,PDF, 14.14 MB
The Anthropology of Art: A Reader (Blackwell Anthologies in Social and Cultural Anthropology),"Howard Morphy, Morgan Perkins,",,2006,english,PDF, 28.19 MB
Medieval Art,"Marilyn Stokstad,",Westview Press,2004,english,PDF, 215.72 MB
Drawing animals made amazingly easy,"Hart, Christopher,",Potter/TenSpeed/Harmony;Watson Guptill,2007,english,EPUB, 21.55 MB
敦煌石窟全集 21：建筑画卷,"administrator,",商务印书馆,,chinese,PDF, 47.05 MB
图像学研究：文艺复兴时期艺术的人文主题,"欧文·潘诺夫斯基（Erwin Panofsky）,",上海三联书店,2011,chinese,PDF, 68.72 MB
尋找人吃人見証,"依娃,",明鏡出版社,2016,chinese,PDF, 49.50 MB
"Early Greek Vase Painting, 11th-6th Centuries BC: A Handbook (World of Art)","John Boardman,",Thames & Hudson,1998,english,PDF, 85.13 MB
Monet's years at Giverny: Beyond Impressionism,"Claude Monet,",Metropolitan Museum of Art,1978,english,PDF, 33.12 MB
The Ancients and the Postmoderns: On the Historicity of Forms,"Fredric Jameson,",Verso,2015,english,EPUB, 2.16 MB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
The Encyclopedia of Tibetan Symbols and Motifs,"Robert Beer,",Shambhala,1999,english,PDF, 52.46 MB
艺术社会学：凤凰文库 艺术理论研究系列,"维多利亚•D•亚历山大 著, 章浩 / 沈杨 译,",凤凰传媒集团 江苏美术出版社,2013,chinese,PDF, 94.03 MB
The Philosophy of Andy Warhol,"Andy Warhol,",Harvest,1977,english,PDF, 663 KB
Dostoevsky: A Writer in His Time,"Joseph Frank,",Princeton University Press,2009,english,EPUB, 3.38 MB
How Fiction Works (Tenth Anniversary Edition): Updated and Expanded,"James Wood,","Farrar, Straus and Giroux",2018,english,EPUB, 475 KB
S. Petersen’s Field Guide to Lovecraftian Horrors: A Field Observer’s Handbook of Preternatural Entities and Beings from Beyond The Wall of Sleep,"Sandy Petersen, Mike Mason, Lynn Willis,",Chaosium,2015,english,PDF, 34.63 MB
Hokusai,"Edmond De Goncourt,",Parkstone Press,2015,english,PDF, 75.88 MB
Sketching people : life drawing basics,"Jeff Mellem,",North Light Books,2009,english,PDF, 38.04 MB
甲骨文丛书·午夜北平（套装全2册）历史非虚构纪实小说，还原北平社会生活史，堪称中国的“福尔摩斯探案集”！,"保罗·法兰奇(Paul French),",,2019,chinese,MOBI , 6.75 MB
Drawn from Life: Tips and Tricks for Contemporary Life Drawing,"Helen Birch,",Chronicle Books,2017,english,EPUB, 21.98 MB
嫁给一个和尚,"罗青梅,",晋江文学城,2020,chinese,AZW3 , 2.72 MB
